City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Okmulgee,90,US,1618627977,100,35.6234,-95.9605,50.0,6.8
Kumul,0,CN,1618627977,9,42.8,93.45,65.12,9.91
Cape Town,0,ZA,1618627859,87,-33.9258,18.4232,68.0,2.3
Yellowknife,40,CA,1618627702,56,62.456,-114.3525,42.8,8.05
Nome,90,US,1618627978,86,64.5011,-165.4064,32.0,5.75
Ushuaia,90,AR,1618627557,75,-54.8,-68.3,42.8,4.61
Busselton,24,AU,1618627800,55,-33.65,115.3333,72.0,1.99
Thompson,40,CA,1618627979,45,55.7435,-97.8558,41.0,8.05
Vardø,100,NO,1618627979,76,70.3705,31.1107,39.99,30.76
Erzin,22,TR,1618627980,70,36.9559,36.2,60.01,13.0
Vaini,20,TO,1618627799,69,-21.2,-175.2,80.6,5.75
Ancud,20,CL,1618627980,100,-41.8697,-73.8203,52.0,5.75
Shenkursk,49,RU,1618627981,80,62.1091,42.896,34.21,3.24
Payo,100,ID,1618627981,85,-3.7508,103.6372,79.84,2.62
San Patricio,90,US,1618627981,94,28.017,-97.5169,75.2,6.91
Petropavlovsk-Kamchatskiy,33,RU,1618627982,36,53.0452,158.6483,41.0,15.66
Saint Paul Harbor,20,US,1618627513,61,57.79,-152.4072,48.2,6.91
Aklavik,100,CA,1618627982,55,68.2191,-135.0107,35.6,3.44
Atuona,100,PF,1618627756,77,-9.8,-139.0333,80.69,18.05
Rikitea,100,PF,1618627798,68,-23.1203,-134.9692,77.7,8.57
Port Elizabeth,0,ZA,1618627983,67,-33.918,25.5701,60.8,14.97
Dikson,98,RU,1618627738,94,73.5069,80.5464,-3.69,4.85
Saint George,90,US,1618627851,31,37.1041,-113.5841,60.8,10.36
Lubango,45,AO,1618627984,76,-14.9172,13.4925,59.23,1.81
Touros,40,BR,1618627798,94,-5.1989,-35.4608,77.0,3.44
Qaanaaq,100,GL,1618627808,92,77.484,-69.3632,-2.31,6.76
Saiha,19,IN,1618627985,33,22.4833,92.9667,85.35,3.36
Shchors,40,UA,1618627985,94,51.8186,31.945,38.07,5.82
Agadez,40,NE,1618627986,8,19.75,10.25,80.71,9.01
Teya,71,RU,1618627986,67,60.3778,92.6267,11.71,8.66
Saldanha,0,ZA,1618627712,55,-33.0117,17.9442,62.6,3.44
Zemio,87,CF,1618627987,69,5.0314,25.1361,72.63,0.63
Cherskiy,96,RU,1618627987,77,68.75,161.3,22.33,10.63
Kudahuvadhoo,78,MV,1618627988,70,2.6708,72.8944,82.38,7.2
Vostok,92,RU,1618627988,34,46.4856,135.8833,48.72,9.86
Chui,0,UY,1618627869,93,-33.6971,-53.4616,64.74,4.59
Mataura,86,NZ,1618627701,61,-46.1927,168.8643,55.99,5.01
Vuktyl,100,RU,1618627989,75,63.8567,57.3094,32.65,14.34
Gigmoto,100,PH,1618627989,71,13.7796,124.39,84.52,14.29
Souillac,40,MU,1618627990,88,-20.5167,57.5167,77.0,4.61
Bethel,95,US,1618627990,82,41.3712,-73.414,41.0,9.53
Zhigansk,100,RU,1618627990,76,66.7697,123.3711,21.43,19.01
Puerto Ayora,96,EC,1618627991,97,-0.7393,-90.3518,75.99,5.01
Kota Kinabalu,20,MY,1618627991,70,5.9749,116.0724,87.8,4.61
Fortuna,1,US,1618627992,100,40.5982,-124.1573,51.01,10.36
Alofi,6,NU,1618627992,65,-19.0595,-169.9187,84.2,10.36
Pimentel,100,PE,1618627867,82,-6.8367,-79.9342,66.99,4.0
Dunedin,42,NZ,1618627993,42,-45.8742,170.5036,57.99,8.01
Laguna,1,US,1618627993,35,38.421,-121.4238,71.6,5.75
Champerico,35,GT,1618627994,97,14.3,-91.9167,68.0,8.34
Cerritos,1,US,1618627943,82,33.8583,-118.0648,64.4,9.22
Quatre Cocos,40,MU,1618627994,88,-20.2078,57.7625,80.01,4.61
Dingle,96,PH,1618627995,61,10.9995,122.6711,86.45,11.43
Pevek,100,RU,1618627995,83,69.7008,170.3133,22.59,3.33
La Trinitaria,24,MX,1618627996,54,16.1167,-92.05,70.57,6.2
Bredasdorp,2,ZA,1618627788,93,-34.5322,20.0403,46.4,3.24
New Norfolk,98,AU,1618627721,73,-42.7826,147.0587,62.01,5.99
Castro,100,BR,1618627707,93,-24.7911,-50.0119,59.67,2.73
Narsaq,4,GL,1618627997,35,60.9167,-46.05,17.6,12.66
Butaritari,59,KI,1618627997,74,3.0707,172.7902,82.36,8.88
Beyneu,0,KZ,1618627997,49,45.3167,55.2,59.04,6.35
Kapaa,90,US,1618627707,78,22.0752,-159.319,73.0,3.44
Sayyan,34,YE,1618627998,42,15.1718,44.3244,54.68,4.63
Albany,98,US,1618627803,77,42.6001,-73.9662,39.99,6.13
George Town,20,MY,1618627813,74,5.4112,100.3354,84.99,4.61
Codrington,100,AU,1618627999,57,-38.2667,141.9667,62.94,11.99
Ayní,13,TJ,1618627999,58,39.3941,68.5377,51.08,2.71
