City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kiryat Gat,100,IL,1618870481,33,31.61,34.7642,82.0,5.95
Klaksvík,75,FO,1618870481,87,62.2266,-6.589,39.2,6.91
High Rock,75,BS,1618870482,83,26.6208,-78.2833,80.6,11.5
Pokhara,0,NP,1618870482,23,28.2333,83.9833,68.32,8.12
Saldanha,7,ZA,1618870483,59,-33.0117,17.9442,66.2,5.75
Ust-Tsilma,99,RU,1618870483,74,65.441,52.1498,32.54,7.61
Alappuzha,47,IN,1618870483,77,9.49,76.3264,81.81,3.2
Porgera,100,PG,1618870484,95,-5.4667,143.2,43.97,1.34
Kokopo,85,PG,1618870206,80,-4.352,152.2633,77.95,3.85
Busselton,72,AU,1618870484,98,-33.65,115.3333,52.0,7.92
Provincie Utrecht,25,NL,1618870234,86,52.0,5.25,46.0,3.47
Barrow,90,US,1618870485,80,71.2906,-156.7887,24.8,20.71
Atuona,21,PF,1618870374,78,-9.8,-139.0333,80.2,18.63
Havre-St-Pierre,90,CA,1618870485,87,50.2334,-63.5986,44.6,5.75
Punta Arenas,0,CL,1618870335,57,-53.15,-70.9167,48.2,13.8
East London,100,ZA,1618870486,75,-33.0153,27.9116,65.35,8.88
Amapá,96,BR,1618870487,97,1.0,-52.0,73.17,3.04
Dikson,11,RU,1618870408,97,73.5069,80.5464,-5.89,7.16
Bredasdorp,97,ZA,1618870406,67,-34.5322,20.0403,60.8,19.57
Saint Paul Harbor,90,US,1618870488,87,57.79,-152.4072,42.8,23.02
Isla Mujeres,90,MX,1618870488,89,21.2311,-86.731,81.0,9.22
Vaini,75,TO,1618870488,83,-21.2,-175.2,78.8,11.5
Rikitea,0,PF,1618870489,73,-23.1203,-134.9692,78.01,10.38
Qaanaaq,99,GL,1618870433,82,77.484,-69.3632,4.24,5.82
Risod,53,IN,1618870489,19,19.9667,76.7833,86.68,11.7
Ambérieu-en-Bugey,0,FR,1618870490,66,45.9589,5.3432,51.8,2.3
Kamenka,100,RU,1618870490,81,51.3223,42.7678,48.0,10.09
Sinegor'ye,100,RU,1618870335,95,62.0788,150.477,29.32,2.8
Owase,0,JP,1618870491,54,34.0667,136.2,57.69,3.51
Conakry,20,GN,1618870491,83,9.538,-13.6773,82.4,11.5
Rocha,0,UY,1618870492,90,-34.4833,-54.3333,60.24,6.55
Samarinda,90,ID,1618870492,98,-0.5,117.15,71.94,2.15
Mataura,0,NZ,1618870360,64,-46.1927,168.8643,53.69,3.67
Hamilton,40,US,1618870382,32,39.1834,-84.5333,66.99,14.97
Comiso,0,IT,1618870493,93,36.9513,14.6102,44.6,2.3
Saint-Philippe,90,RE,1618870493,94,-21.3585,55.7679,75.2,2.3
Ushuaia,40,AR,1618870461,87,-54.8,-68.3,42.8,2.3
Jerantut,91,MY,1618870494,98,3.936,102.3626,72.41,1.16
Vrbno pod Pradědem,84,CZ,1618870494,94,50.1209,17.3832,39.0,4.23
Nichinan,0,JP,1618870495,76,31.6,131.3667,50.0,8.05
Mount Gambier,75,AU,1618870389,100,-37.8333,140.7667,50.0,10.36
Longyearbyen,75,SJ,1618870495,75,78.2186,15.6401,33.8,11.5
Bathsheba,20,BB,1618870496,57,13.2167,-59.5167,80.6,19.57
Ilulissat,94,GL,1618870207,45,69.2167,-51.1,17.6,4.61
Castro,21,BR,1618870497,91,-24.7911,-50.0119,56.98,3.8
Shingū,0,JP,1618870497,63,33.7333,135.9833,55.15,4.32
Fort Nelson,1,CA,1618870207,24,58.8053,-122.7002,53.6,8.05
Thompson,75,CA,1618870391,59,55.7435,-97.8558,26.6,13.8
Severo-Kuril'sk,100,RU,1618870373,93,50.6789,156.125,37.18,14.83
Cape Town,0,ZA,1618870435,72,-33.9258,18.4232,63.0,4.61
Valdosta,1,US,1618870498,33,30.8327,-83.2785,75.2,4.61
Aberdeen,100,GB,1618870498,81,57.1437,-2.0981,44.6,5.75
Shelburne,100,CA,1618870499,74,44.0787,-80.2041,50.0,15.05
Āsosa,64,ET,1618870499,22,10.0667,34.5333,72.99,3.31
Viedma,27,AR,1618870500,51,-40.8135,-62.9967,78.33,18.66
Faanui,10,PF,1618870500,69,-16.4833,-151.75,82.87,13.65
Ribeira Grande,92,PT,1618870501,89,38.5167,-28.7,62.56,17.25
Harper,100,LR,1618870348,78,4.375,-7.7169,81.59,5.28
Lüderitz,72,NA,1618870501,61,-26.6481,15.1594,70.83,9.57
